10001	118	53	11
10002	0	6	0
10003	0	1	0
10004	0	3	0
10005	0	3	0
10006	95	2	2
10007	0	172	0
10008	0	36	0
10009	0	12	0
10010	0	1	0
10011	0	4	0
10012	13	2	1
10014	31	14	0
10100	0	4	0
10102	5	2	2
10103	0	28	0
10104	0	4	0
10105	0	5	0
10106	0	19	0
10107	4	9	0
10108	0	1	0
10109	0	2	0
10110	2	11	1
10111	11	2	3
10112	13	3	19
10113	0	7	0
10114	5	150	0
10201	0	4	0
10202	0	2	0
10203	0	5	1
10205	0	5	0
10206	0	11	0
10207	0	7	0
10208	0	1	0
10209	0	16	0
10210	13	0	2
10211	29	8	1
10212	6	11	0
10213	0	5	0
10214	0	10	0
10215	0	7	0
10300	0	2	0
10301	0	2	0
10302	0	5	0
10304	3	6	1
10305	0	7	0
10306	0	5	0
10307	0	7	0
10308	0	7	0
10309	0	11	0
10310	0	1	0
10311	0	6	0
10312	0	5	0
10313	0	1	0
10314	0	8	0
10315	0	9	1
10400	0	2	0
10401	4	6	20
10402	0	2	0
10403	0	24	0
10404	14	4	1
10405	0	2	0
10406	11	4	0
10407	10	14	1
10408	0	2	0
10410	0	7	0
10411	0	42	0
10412	0	1	0
10413	2	1	0
10414	21	41	6
10415	0	15	0
10500	26	0	0
10501	0	1	0
10502	0	13	0
10503	0	8	11
10504	20	4	1
10505	0	3	0
10506	0	2	0
10507	0	7	0
10508	26	43	0
10509	0	1	0
10510	0	3	0
10511	1	11	1
10512	0	2	0
10513	0	11	0
10514	0	35	0
10515	2	10	13
10600	0	2	0
10601	1	33	1
10602	0	3	0
10603	0	27	0
10604	0	7	0
10605	1	1	1
10606	0	3	0
10607	0	2	0
10608	0	3	0
10609	0	6	0
10610	0	2	0
10611	0	19	0
10612	0	5	0
10613	0	6	0
10614	0	2	0
10615	0	14	0
10700	0	2	0
10701	0	6	0
10702	0	22	0
10704	16	59	4
10705	0	1	0
10706	0	17	0
10707	0	1	0
10708	1	6	4
10709	170	37	47
10710	0	1	0
10714	13	2	3
10715	0	1	0
10800	18	1	6
10801	0	4	0
10802	1	7	0
10803	0	1	0
